Department,DistinguishedName,Enabled,GivenName,Manager,Name,ObjectClass,OfficePhone,SamAccountName,sn,Surname,Title
Executive,CN=Dan Jump,TRUE,Dan,,Dan Jump,user,+41 56 406 0709,danj,Jump,Jump,CEO
Operations,CN=Adam Barr,TRUE,Adam,CN=Dan Jump,Adam Barr,user,+41 56 406 5472,adamb,Barr,Barr,General Manager of Professional Services
Project Management,CN=Alan Steiner,TRUE,Alan,CN=Adam Barr,Alan Steiner,user,+41 56 406 2443,alans,Steiner,Steiner,Director of Project Management Team
Project Management,CN=Chris Norred,TRUE,Chris,CN=Alan Steiner,Chris Norred,user,+41 56 406 1931,chrisn,Norred,Norred,Project Manager
Operations,CN=Diane Tibbot,TRUE,Diane,CN=Adam Barr,Diane Tibbot,user,+41 56 406 9327,dianet,Tibbot,Tibbot,CFO of Professional Services
Engineering,CN=Christine Koch,TRUE,Christine,CN=Adam Barr,Christine Koch,user,+41 56 406 2987,christk,Koch,Koch,Managing Director
Executive,CN=Frank Martinez,TRUE,Frank,CN=Dan Jump,Frank Martinez,user,+41 56 406 0121,frankm1,Martinez,Martinez,COO
Accounting,CN=Karim Manar,TRUE,Karim,CN=Diane Tibbot,Karim Manar,user,+41 56 406 4156,karimm,Manar,Manar,Controller
Sales,CN=Dan Park,TRUE,Dan,CN=Adam Barr,Dan Park,user,+41 56 406 6563,danp,Park,Park,Vice President NA Sales
Executive,CN=Jeff Hay,TRUE,Jeff,CN=Frank Martinez,Jeff Hay,user,+41 56 406 0187,jeffh,Hay,Hay,CVP of Operations
Human Resources,CN=Garth Fort,TRUE,Garth,CN=Karim Manar,Garth Fort,user,+41 56 406 8258,garthf,Fort,Fort,HR Manager
Strategy Consulting,CN=Cesar Garcia,TRUE,Cesar,CN=Christine Koch,Cesar Garcia,user,+41 56 406 4178,cesarg,Garcia,Garcia,Strategy Consulting Manager
Executive,CN=Christa Geller,TRUE,Christa,CN=Jeff Hay,Christa Geller,user,+41 56 406 0177,christg,Geller,Geller,CVP of Online
Sales Engagement Management,CN=Jack Creasey,TRUE,Jack,CN=Dan Park,Jack Creasey,user,+41 56 406 4676,jackc,Creasey,Creasey,Managing Director
Strategy Consulting,CN=David Maman,TRUE,David,CN=Christine Koch,David Maman,user,+41 56 406 2867,davidm,Maman,Maman,Strategy Consulting Manager
Sales,CN=Alan Brewer,TRUE,Alan,CN=Jack Creasey,Alan Brewer,user,+41 56 406 2217,alanb,Brewer,Brewer,Regional Sales Manager
Sales Engagement Management,CN=David Simpson,TRUE,David,CN=Alan Brewer,David Simpson,user,+41 56 406 1123,davids,Simpson,Simpson,Sales Manager
Senior Management,CN=Anna Lidman,TRUE,Anna,CN=Christa Geller,Anna Lidman,user,+41 56 406 0172,annal,Lidman,Lidman,SVP of Online Services
Sales,CN=Eduard Dell,TRUE,Eduard,CN=Jack Creasey,Eduard Dell,user,+41 56 406 4638,eduardd,Dell,Dell,Regional Sales Manager
Sales,CN=Spencer Low,TRUE,Spencer,CN=Jack Creasey,Spencer Low,user,+41 56 406 7934,spencel,Low,Low,Regional Sales Manager
Operations,CN=Kelly Weadock,TRUE,Kelly,CN=Adam Barr,Kelly Weadock,user,+41 56 406 8936,kellyw,Weadock,Weadock,CTO of Professional Services
Senior Management,CN=Molly Clark,TRUE,Molly,CN=Anna Lidman,Molly Clark,user,+41 56 406 0192,mollyc,Clark,Clark,GM of Online Ad Sales and Affiliate Marketing
Sales,CN=Larry Zhang,TRUE,Larry,CN=Jack Creasey,Larry Zhang,user,+41 56 406 7414,larryz,Zhang,Zhang,Regional Sales Manager
Operations,CN=Arturo Lopez,TRUE,Arturo,CN=Kelly Weadock,Arturo Lopez,user,+41 56 406 3186,arturol,Lopez,Lopez,IT Director
Sales,CN=April Stewart,TRUE,April,CN=Eduard Dell,April Stewart,user,+41 56 406 5454,aprils,Stewart,Stewart,Sales Manager
Strategy Consulting,CN=Aaron Painter,TRUE,Aaron,CN=Christine Koch,Aaron Painter,user,+41 56 406 8335,aaronp,Painter,Painter,Strategy Consulting Manager
Project Management,CN=Andrew Ma,TRUE,Andrew,CN=Alan Steiner,Andrew Ma,user,+41 56 406 6345,andrewm,Ma,Ma,Senior Project Manager
Marketing,CN=Diane Prescott,TRUE,Diane,CN=Molly Clark,Diane Prescott,user,+41 56 406 0164,dianep,Prescott,Prescott,Director of Ad Sales
Sales Engagement Management,CN=Arthur Yasinski,TRUE,Arthur,CN=Spencer Low,Arthur Yasinski,user,+41 56 406 3187,arthury,Yasinski,Yasinski,Sales Manager
Strategy Consulting,CN=Brad Sutton,TRUE,Brad,CN=Christine Koch,Brad Sutton,user,+41 56 406 9758,brads,Sutton,Sutton,Strategy Consulting Manager
Human Resources,CN=Amy Alberts,TRUE,Amy,CN=Garth Fort,Amy Alberts,user,+41 56 406 1346,amya,Alberts,Alberts,HR Manager
Sales,CN=Steve Luper,TRUE,Steve,CN=Jack Creasey,Steve Luper,user,+41 56 406 7772,stevel,Luper,Luper,Regional Sales Manager
Senior Management,CN=Julian Isla,TRUE,Julian,CN=Molly Clark,Julian Isla,user,+41 56 406 0184,juliani,Isla,Isla,Sr. Business Development Manager
Project Management,CN=Scott Bishop,TRUE,Scott,CN=Alan Steiner,Scott Bishop,user,+41 56 406 9977,scottb,Bishop,Bishop,Senior Project Manager
Marketing,CN=Kelly Krout,TRUE,Kelly,CN=Adam Barr,Kelly Krout,user,+41 56 406 6511,kellyk,Krout,Krout,Marketing Manager
Content Management Consulting,CN=Stan Orme,TRUE,Stan,CN=Alan Steiner,Stan Orme,user,+41 56 406 6169,stano,Orme,Orme,Content Management Consulting Manager
Project Management,CN=Mike Nash,TRUE,Mike,CN=Alan Steiner,Mike Nash,user,+41 56 406 8148,miken,Nash,Nash,Senior Project Manager
Strategy Consulting,CN=Jenni Merrifield,TRUE,Jenni,CN=David Maman,Jenni Merrifield,user,+41 56 406 3965,jennim,Merrifield,Merrifield,Strategy Consultant
Operations,CN=Keith Dishmo,TRUE,Keith,CN=Adam Barr,Keith Dishmo,user,+41 56 406 7436,keithd,Dishmo,Dishmo,Procurement Manager
Sales,CN=Jose Saraiva,TRUE,Jose,CN=Larry Zhang,Jose Saraiva,user,+41 56 406 9337,joses,Saraiva,Saraiva,Sales Manager
Sales Engagement Management,CN=Lene Aalling,TRUE,Lene,CN=Steve Luper,Lene Aalling,user,+41 56 406 3621,lenea,Aalling,Aalling,Sales Manager
Project Management,CN=Barry Johnson,TRUE,Barry,CN=Alan Steiner,Barry Johnson,user,+41 56 406 8673,barryj,Johnson,Johnson,Project Manager
Strategy Consulting,CN=Ellen Adams,TRUE,Ellen,CN=Christine Koch,Ellen Adams,user,+41 56 406 1397,ellena,Adams,Adams,Strategy Consulting Manager
Operations,CN=Ben Spain,TRUE,Ben,CN=Adam Barr,Ben Spain,user,+41 56 406 8216,bens,Spain,Spain,Manager
Engineering Operations,CN=David Zazzo,TRUE,David,CN=Adam Barr,David Zazzo,user,+41 56 406 4122,davidz,Zazzo,Zazzo,Managing Director
Engineering Operations,CN=Carol Troup,TRUE,Carol,CN=David Zazzo,Carol Troup,user,+41 56 406 7223,carolt,Troup,Troup,Strategy Consulting Manager
Operations,CN=Erika Cheley,TRUE,Erika,CN=Ben Spain,Erika Cheley,user,+41 56 406 1242,erikac,Cheley,Cheley,Manager
Project Management,CN=Brian Groth,TRUE,Brian,CN=Barry Johnson,Brian Groth,user,+41 56 406 9642,briang,Groth,Groth,Project Manager
CRM Strategy,CN=Syed Abbas,TRUE,Syed,CN=Aaron Painter,Syed Abbas,user,+41 56 406 4595,syeda,Abbas,Abbas,CRM Consulting Manager
Content Management Consulting,CN=Peder Thode,TRUE,Peder,CN=Stan Orme,Peder Thode,user,+41 56 406 7862,pedert,Thode,Thode,Content Management Consultant
Content Management Consulting,CN=Mary Cha,TRUE,Mary,CN=Stan Orme,Mary Cha,user,+41 56 406 4594,maryc,Cha,Cha,Content Management Consultant
